Région;Prix m2 moyen appartement;Prix m2 moyen maison;Nombre d'habitants;Nombre de départements;Nombre de communes;Noms des départements
Auvergne-Rhône-Alpes;3 240 € ;2 410 € ;8 115 273;12;4038;Cantal,Loire,Isère,Ain,Drôme,Haute-Loire,Puy-de-Dôme,Ardèche,Allier,Rhône,Savoie,Haute-Savoie
Bourgogne-Franche-Comté;1 820 € ;1 480 € ;2 800 539;8;3704;Jura,Doubs,Côte-d'Or,Territoire de Belfot,Nièvre,Yonne,Saône-et-Loire,Haute-Saône
Bretagne;3 190 € ;2 280 € ;3 394 740;4;1208;Ille-et-vilaine,Côtes-d'Amor,Finistère,Morbihan
Centre-Val de Loire;2 270 € ;1 630 € ;2 573 303;6;1758;Eure-et-Loir,Loiret,Indre-et-Loire,Indre,Cher,Loir-et-Cher
Corse;3 750 € ;3 800 € ;347 597;2;360;Corse-du-sud,Haute-Corse
Grand Est;2 250 € ;1 760 € ;5 561 663;10;5121;Aube,Marne,Haute-Marne,Moselle,Meurthe-et-Moselle,Meuse,Bas-Rhin,Ardennes,Haut-Rhin,Vosges
Hauts-de-France;2 650 € ;1 720 € ;5 995 753;5;3789;Nord,Pas-de-Calais,Oise,Aisne,Somme
Île-de-France;5 700 € ;3 190 € ;12 317 279;8;1287;Essonne,Val-d'Oise,Hauts-de-Seine,Seine-Saint-Denis,Paris,Yvelines,Seine-et-Marne,Val-de-Marne
Normandie;2 600 € ;1 920 € ;3 326 719;5;2651;Calvados,Manche,Orne,Eure,Seine-Maritime
Nouvelle-Aquitaine;3 630 € ;2 030 € ;6 071 168;12;4314;Landes,Lot-et-Garonne,Creuse,Gironde,Charente,Deux-sèvres,Charente-Maritime,Corrèze,Dordogne,Pyrénées-Atlantiques,Hautes-Vienne,Vienne
Occitanie;2 970 € ;2 250 € ;6 022 217;13;4454;Aude,Gard,Hautes-Pyrénées,Pyrénées-Orientales,Aveyron,Haute-Garonne,Gers,Hérault,Lot,Ariège,Lozère,Tarn,Tarn-et-Garonne
Pays de la Loire;3 350 € ;2 180 € ;3 856 157;5;1238;Loire-Atlantique,Maine-et-Loire,Mayenne,Vendée,Sarthe
Provence-Alpes-Côte d'Azur;4 010 € ;3 770 € ;5 127 840;6;961;Alpes-Maritimes,Bouches-du-Rhône,Alpes-de-Haute-Provence,Hautes-Alpes,Var,Vaucluse
